item_id	interface_family	task_comprehensibility	answer_determinacy	response_space_fairness	lexical_context_accessibility	pedagogical_plausibility	format_plausibility	measurement_purity	learner_overall	platform_overall	primary_disposition	issue_tags	learner_note	platform_note	confidence	role_disagreement
candidate_gc_172c3f1039296750_01	whole_response	concern	concern	concern	pass	concern	pass	pass	concern	concern	minor_ui_or_context_change	pronoun_perspective_ambiguity;punctuation_normalization_unspecified	“You ask your friend” suggests direct-address “you,” while the mandatory “she” cue suggests asking about a third party; only the punctuated form is accepted.	A one-line context rewrite and punctuation normalization would make the polite-question format deployable.	high	false
candidate_gc_17fcb3b3c0156c98_03	inline_cloze	pass	fail	fail	pass	concern	pass	concern	fail	concern	answer_space_problem	context_does_not_force_target	A closed shop does not establish that bread was not delivered, and “could not be delivered” is also salient.	The prompt needs an explicit non-delivery fact or stronger construction cue before correctness can diagnose the declared KCs.	high	true
candidate_gc_19656e31c58c2c07_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The habitual preparation context and “arrange” cue select the present passive span.	A standard passive cloze with simple vocabulary.	high	false
candidate_gc_19656e31c58c2c07_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The active first sentence provides a transparent transformation to the present passive.	A plausible focused grammar opportunity.	high	false
candidate_gc_19ed2b72505b3a96_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The start time and future endpoint uniquely motivate the future perfect progressive.	An advanced but coherent platform cloze.	high	false
candidate_gc_19ed2b72505b3a96_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The noon-to-five duration and continuing activity support the target unambiguously.	A clean advanced-aspect opportunity.	high	false
determinacy_intervention_gc_28d8bf2edc192d4c_02	inline_cloze	concern	pass	pass	pass	pass	concern	pass	pass	concern	minor_ui_or_context_change	technical_grammar_metalanguage	The requested modal is clear, though “negative declarative” is unnecessary learner-facing terminology.	Removing the metalanguage while retaining the explicit “could” cue would yield a normal cloze.	high	true
determinacy_intervention_gc_2924f6e63e1c1da2_02	whole_response	concern	pass	pass	pass	concern	concern	pass	concern	concern	technically_valid_but_artificial	technical_grammar_metalanguage;target_pragmatically_marked	The named construction is answerable, but learners must understand “positive declarative” and “progressive aspect”; “should be washing” carries a marked corrective meaning.	Plausible only in explicit form-focused instruction; a natural platform context should make the ongoing obligation clearer.	medium	false
candidate_gc_2b730d0e1d9443b7_01	whole_response	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The required words visibly select a coherent modal-perfect sentence.	A constrained full-sentence production task is plausible.	high	false
candidate_gc_2b730d0e1d9443b7_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The bracketed modal and verb make the completion clear.	A concise modal-perfect cloze.	high	false
candidate_gc_2d6eb4f93cba4c6b_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		“By the time” plus the supplied verb clearly selects past perfect.	A natural sequence-of-events cloze.	high	false
candidate_gc_2f1bd922c732c078_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The unreal past condition and lexical continuation determine the modal-perfect result.	A plausible advanced transformation/completion item.	high	false
candidate_gc_325e05b06bb38886_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Permission intent and explicit word cues make the question clear; punctuation is printed outside the blank.	A deployable question-building cloze.	high	false
candidate_gc_325e05b06bb38886_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The role, permission intent, and full word set determine the question.	A recognizable platform production item.	high	false
candidate_gc_3aaf5191d5f45601_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		“Has learned” plus “swim” transparently supports ability with can.	A simple deployable modal cloze.	high	false
candidate_gc_3ac515345a227486_03	inline_cloze	pass	fail	fail	pass	concern	pass	fail	fail	fail	answer_space_problem	context_does_not_force_target	A wet floor and the cue “wait” do not visibly require counterfactual “should have waited”; “waited” and other advice constructions remain reasonable.	The prompt needs explicit regret/advice framing or construction cues before it measures `should` + perfect.	high	false
candidate_gc_44ff4acdb263024b_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The simultaneous “when I looked” context and verb cue support past progressive.	A conventional platform cloze.	high	false
candidate_gc_44ff4acdb263024b_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	concern	minor_ui_or_context_change	near_duplicate_item	The item is clear in isolation.	It is almost a lexical-name duplicate of the other item for this cell, so contextual diversity is weaker than the item count suggests.	high	true
candidate_gc_4601bed02c004e37_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		“Yesterday” and the supplied regular verb make the requested past form clear.	A standard simple-past cloze.	high	false
candidate_gc_4601bed02c004e37_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The instruction explicitly requests the past form and supplies a simple context.	A deployable morphology cloze.	high	false
candidate_gc_4634bf1b005f7724_01	whole_response	concern	concern	pass	concern	concern	pass	pass	concern	concern	minor_ui_or_context_change	semantically_underspecified_context	The premise says Mia buys bread and fruit yet never identifies the larger list whose omitted item is queried.	The word cues make form production possible, but a concrete three-item list would make the question pedagogically meaningful.	high	false
candidate_gc_4634bf1b005f7724_03	whole_response	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The two-door contrast and supplied chunks clearly determine the negative object question.	A plausible constrained question-production item.	high	false
candidate_gc_4777747f8b0a6b46_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The inability to finish by the deadline directly supports the negative future perfect.	A coherent advanced deadline cloze.	high	false
candidate_gc_483f3ac117f331a7_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Visible evidence and “all morning” support an earlier ongoing activity.	A natural past-perfect-progressive inference item.	high	false
candidate_gc_4a2ccf1526ca832c_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The regret context and lexical cue clearly support “should not have sent.”	A plausible meaning-focused modal-perfect cloze.	high	false
unchanged_rescue_gc_4a4c9d34c1b5bce4_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The modal/verb cues and changed state yield the intended deduction.	A credible modal-perfect completion.	medium	false
unchanged_rescue_gc_4a4c9d34c1b5bce4_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Only-person-at-home context and explicit cues support the deduction.	A plausible focused cloze.	high	false
candidate_gc_4ad408e9b8193c7c_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The state evidence and supplied modal/verb make the uncertain deduction clear.	A standard modal-perfect cloze.	high	false
candidate_gc_4ad408e9b8193c7c_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The missing object, earlier presence, and explicit cues support the target.	A plausible platform item.	high	false
candidate_gc_63a057f3a47e95b1_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The active source sentence, time phrase, and build cue determine the past passive.	A transparent active-to-passive completion.	high	false
determinacy_intervention_gc_67bcfeedfa77f954_02	whole_response	concern	pass	pass	pass	pass	concern	pass	pass	concern	minor_ui_or_context_change	technical_grammar_metalanguage	The modal and word sequence are clear; “positive declarative clause” adds avoidable terminology.	A small instruction simplification would make this a plausible sentence-building task.	high	true
candidate_gc_6a255aa977e4289a_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The active ongoing event transparently maps to a passive-progressive completion.	A plausible focused cloze.	high	false
candidate_gc_6a255aa977e4289a_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		“In progress” and “right now” clearly cue present passive progressive.	A deployable grammar opportunity.	high	false
candidate_gc_6a5e38b390521990_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Ongoing painting plus “yet” determines the negative present-perfect passive.	A coherent advanced cloze.	high	false
candidate_gc_6a5e38b390521990_03	inline_cloze	pass	fail	fail	pass	concern	pass	concern	fail	concern	answer_space_problem	context_does_not_force_target	“The package is still at the shop” licenses “was not delivered,” “is not delivered,” or “has not been delivered”; only the last is accepted.	A time anchor or explicit present-perfect cue is needed for clean measurement.	high	true
candidate_gc_70772a95583e5587_02	inline_cloze	pass	pass	pass	pass	concern	concern	pass	pass	concern	technically_valid_but_artificial	register_or_dialect_narrowness	The explicit `shall` cue makes the answer possible, but declarative “I shall carry” is marked compared with the natural offer “Shall I carry...?”	A platform may teach this register, but it should label it; as generic practice it feels constructed for modal coverage.	medium	true
candidate_gc_7224db1e1a3bbebd_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The visible evidence and explicit CAN/NOT/LEAVE cues clearly select the target.	A plausible epistemic modal-perfect cloze.	high	false
candidate_gc_7224db1e1a3bbebd_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The keys' location and full cue set make the completion clear.	A deployable advanced cloze.	high	false
candidate_gc_7ea73f7f16fe2684_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Uncertain delivery plus explicit modal and verb cues determine the passive response.	A natural modal-passive cloze.	high	false
candidate_gc_7ea73f7f16fe2684_02	inline_cloze	pass	fail	fail	pass	concern	pass	fail	fail	fail	answer_space_problem	context_does_not_force_target	A forecast of ice licenses “might/could/will be cancelled”; the prompt supplies only `cancel`, not `may`.	The opportunity cannot distinguish modal `may` mastery from a learner choosing another natural uncertainty modal.	high	false
candidate_gc_809d40d141731b61_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Advice intent and “rest” cue transparently select should.	A conventional platform cloze.	high	false
candidate_gc_832cfb85e1f965ed_02	inline_cloze	pass	pass	pass	pass	concern	concern	pass	pass	concern	technically_valid_but_artificial	register_or_dialect_narrowness	The formal-rule framing licenses “shall not,” but the form is register-specific rather than ordinary learner language.	Potentially deployable in a labelled legal/formal register lesson, not as unqualified mainstream usage.	medium	true
unchanged_rescue_gc_8a330fc9e496e359_02	inline_cloze	pass	fail	fail	pass	concern	pass	fail	fail	fail	answer_space_problem	context_does_not_force_target	A dark sky and umbrella make “might rain” at least as natural as the sole accepted “may rain.”	Because the modal is not supplied, correctness does not validly isolate the declared `may` KC.	high	false
candidate_gc_8b7e8b31b496e102_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The explicit unstarted-room contrast determines the negative passive progressive.	A plausible platform cloze.	high	false
candidate_gc_8b7e8b31b496e102_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	concern	minor_ui_or_context_change	near_duplicate_item	The learner-facing task is clear in isolation.	It repeats the same painting/not-started frame and target span as the paired item, weakening contextual independence.	high	true
candidate_gc_90b9229122fa55d6_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Both “might” and “rain” are explicitly supplied in a coherent uncertainty context.	A straightforward modal cloze.	high	false
candidate_gc_90b9229122fa55d6_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	concern	minor_ui_or_context_change	near_duplicate_item	The item is clear and answerable.	It is nearly the same sky/rain/might opportunity as its paired item, so the two are weakly independent measurements.	high	true
candidate_gc_927e9714cc21a97d_01	inline_cloze	pass	concern	concern	pass	fail	pass	fail	concern	fail	rewrite_or_withhold	target_form_unnatural_in_context;aspect_competitor	A temporary “today” contrast naturally calls for “is not walking,” while the item accepts only simple-present “does not walk.”	The context favors a different GrammarCell, so a wrong label could reflect natural aspect choice rather than finite-present/negation mastery.	high	true
candidate_gc_927e9714cc21a97d_03	inline_cloze	pass	concern	concern	pass	concern	pass	concern	concern	concern	minor_ui_or_context_change	weak_contextual_entailment	Bringing lunch from home does not strictly imply never eating at the café, though the intended habitual contrast is easy to infer.	A context stating that she never buys lunch would make the simple-present negative measurement cleaner.	medium	false
unchanged_rescue_gc_9b8833161ce61d83_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The missed opportunity and explicit modal/verb cues support “could have locked.”	A plausible modal-perfect cloze.	high	false
candidate_gc_9d70af80c0843115_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The still-open state at arrival and before-clause clearly support a negative past-perfect passive.	A coherent advanced cloze.	high	false
candidate_gc_9e9b4cb1a49adcac_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The start time, continuing activity, and duration make the construction clear.	A standard present-perfect-progressive cloze.	high	false
candidate_gc_9e9b4cb1a49adcac_02	inline_cloze	pass	pass	pass	concern	pass	pass	pass	concern	pass	minor_ui_or_context_change	lexical_cue_mismatch	The context says “cleaning” while the instruction switches to “wash”; the explicit verb prevents ambiguity but adds unnecessary lexical switching.	A one-word context repair would remove nuisance without changing the measurement.	high	true
candidate_gc_a0fe7953b9fffca8_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The bag policy clearly implies the negative present passive.	A plausible short platform item.	high	false
candidate_gc_a0fe7953b9fffca8_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The office/kitchen contrast directly supports the negative passive.	A deployable grammar cloze.	high	false
candidate_gc_a7789cd4faa9d95a_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		“By the time” plus the future homecoming endpoint selects future perfect.	A natural deadline/completion cloze.	high	false
candidate_gc_a7789cd4faa9d95a_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The scheduled train and planned earlier arrival support the future-perfect prediction.	A plausible platform item.	high	false
determinacy_intervention_gc_a94168b2255fe062_01	whole_response	concern	pass	pass	pass	pass	concern	pass	concern	concern	technically_valid_but_artificial	technical_grammar_metalanguage	The task is determinate but requires parsing “negative active declarative” and “progressive aspect.”	The form could be practiced on a platform, but the stored instruction resembles a grammar annotation request.	high	false
determinacy_intervention_gc_a94168b2255fe062_02	whole_response	concern	pass	pass	concern	concern	concern	pass	concern	concern	technically_valid_but_artificial	technical_grammar_metalanguage;weak_time_scope	The construction is named, but a morning appointment does not by itself support the unqualified sentence “Mia will not be working.”	Technically form-focused, yet a time-bounded target would create a more natural platform opportunity.	medium	false
candidate_gc_b1516a79b61c8fd0_01	whole_response	pass	concern	pass	pass	concern	pass	pass	concern	concern	minor_ui_or_context_change	pragmatic_context_awkward	The negative-question form is producible, but the relation between habitual bus use and surprise about walking is pragmatically indirect.	A clearer belief/expectation setup would teach negative-question pragmatics more credibly.	medium	false
candidate_gc_b1516a79b61c8fd0_03	whole_response	pass	concern	pass	pass	concern	pass	pass	concern	concern	minor_ui_or_context_change	pragmatic_context_awkward	The cues determine a form, but asking “Doesn't she take the bus?” is an odd surprise after stating that she always walks.	A revised discourse context should explain the speaker's contrary expectation.	high	false
candidate_gc_b55bebc82e7087e7_02	inline_cloze	pass	concern	concern	pass	concern	pass	concern	concern	concern	minor_ui_or_context_change	weak_contextual_entailment	Planning to walk and encountering rain do not establish that Tom did not walk.	Stating that he took a bus instead would prevent context guessing from contaminating the past-negative item.	medium	false
candidate_gc_b55bebc82e7087e7_03	inline_cloze	pass	concern	concern	pass	concern	pass	concern	concern	concern	minor_ui_or_context_change	weak_contextual_entailment	Having no reason to hurry makes not running plausible but does not determine it.	A visible alternative action would make the intended negative past response fairer.	medium	false
candidate_gc_b798d2e32a62c25c_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Completed action with present result and plural subject clearly select the target.	A plausible present-perfect passive cloze.	high	false
candidate_gc_b81e4f2e78894945_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Open-door evidence and explicit modal/negation/verb cues determine the target.	A coherent modal-perfect completion.	high	false
candidate_gc_ba3d77af90f26ab2_03	whole_response	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The location/search facts and full cue sequence make the impossibility inference clear.	A plausible constrained full-sentence item.	high	false
cue_bounded_imperative_gc_bb4f472f992ab76b_01	chunk_reorder_in_text	concern	pass	pass	pass	concern	fail	pass	concern	fail	technically_valid_but_artificial	overconstrained_annotation_prompt;prompt_too_long	The simple answer is buried under exhaustive prohibitions about additions, omissions, substitutions, capitalization, and modifiers.	A two-tile reorder UI is plausible; encoding that UI in 65 words is not.	high	true
cue_bounded_imperative_gc_bb4f472f992ab76b_02	chunk_reorder_in_text	concern	pass	pass	pass	concern	fail	pass	concern	fail	technically_valid_but_artificial	overconstrained_annotation_prompt;prompt_too_long;near_duplicate_item	The answer is forced but the instruction burden is disproportionate to “Close the window.”	This repeats the same target and nearly the same context as its pair; a tile UI and new lexical content are needed.	high	true
candidate_gc_bba42336e267985f_01	inline_cloze	pass	fail	fail	pass	concern	pass	fail	fail	fail	answer_space_problem	context_does_not_force_target;modal_semantics_mismatch	Present ability is most naturally “can walk home”; the short flat path does not uniquely license the supplied target `could` despite the cue saying to use it.	The item produces the modal by instruction rather than measuring a coherent `could` meaning; the context should be conditional or past.	high	false
determinacy_intervention_gc_bdf25ed4941e5de3_01	whole_response	concern	pass	pass	pass	pass	concern	pass	concern	concern	technically_valid_but_artificial	technical_grammar_metalanguage	The time interval is clear, but the instruction uses “positive active declarative” and “progressive aspect.”	A short “What will Tom be doing at 10:30?” prompt would be more platform-like while preserving the target.	high	false
determinacy_intervention_gc_bdf25ed4941e5de3_02	inline_cloze	concern	pass	pass	pass	pass	concern	pass	concern	concern	technically_valid_but_artificial	technical_grammar_metalanguage	The target is well anchored, but “positive declarative” and “progressive form” are explicit annotation terminology.	Plausible in a grammar-reference lesson; a mainstream UI would likely use a simpler activity question.	medium	false
unchanged_rescue_gc_bdf8215fea798df6_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The Thursday/Friday timing and “for very long” scaffold clearly select the negative future-perfect-progressive span.	Advanced but coherent platform practice.	high	false
candidate_gc_bea554636af1b127_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The excessive weight and carry cue transparently express inability.	A simple deployable modal cloze.	high	false
candidate_gc_bea554636af1b127_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Broken arm, heavy box, and the cue clearly support cannot carry.	A plausible short practice item.	high	false
candidate_gc_c0167d1a83f95500_01	inline_cloze	pass	pass	pass	pass	concern	pass	pass	pass	concern	minor_ui_or_context_change	register_or_scope_subtlety	The explicit cues make the epistemic deduction answerable, though `must not have` can be harder to distinguish from prohibition scope.	A platform should teach the epistemic reading explicitly or contrast it with `can't have`; otherwise the form is somewhat marked.	medium	true
candidate_gc_c2cf343c43ce329d_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The unfulfilled plan and present dirty state support negative present perfect.	A natural platform cloze.	high	false
candidate_gc_c2cf343c43ce329d_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The requested earlier action and current open state clearly support the target.	A plausible completion item.	high	false
candidate_gc_c2ed1b09f0bb32d4_02	inline_cloze	pass	fail	fail	pass	fail	pass	fail	fail	fail	rewrite_or_withhold	target_form_unnatural_in_context;aspect_competitor	Being driven to work yesterday naturally licenses “did not walk”; the accepted past progressive “was not walking ... yesterday” is awkward and not visibly selected.	The context favors a different aspect, so the item is not valid evidence about progressive + past + negation.	high	false
candidate_gc_c2ed1b09f0bb32d4_03	inline_cloze	pass	fail	fail	pass	concern	pass	fail	fail	fail	answer_space_problem	context_does_not_force_target;aspect_competitor	If the rain stopped before departure, “did not walk ... when it was raining” is at least as natural as the sole progressive response.	The item needs a simultaneous reference event or explicit progressive cue to measure the target row.	high	false
candidate_gc_ca719d192c20c030_01	whole_response	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The future plan and lexical cue determine a yes/no question with will.	A plausible short question-production task.	high	false
candidate_gc_ca719d192c20c030_03	whole_response	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The ride-home need and subject/verb cue clearly select the target question.	A deployable constrained-production item.	high	false
unchanged_rescue_gc_d14f05acb53845b9_02	inline_cloze	pass	fail	fail	pass	concern	pass	fail	fail	fail	answer_space_problem	context_does_not_force_target	A late package most directly supports “has not arrived”; nothing visible requires uncertain `may not have arrived`.	The item cannot isolate `may` + perfect + negation without a genuine uncertainty cue or explicit modal.	high	false
candidate_gc_d15de8b5658bd6a5_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Habitual time phrase and third-person subject transparently cue `makes`.	A conventional beginner cloze.	high	false
candidate_gc_d15de8b5658bd6a5_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		“Every day” and the supplied verb determine the simple-present form.	A standard platform item.	high	false
candidate_gc_d2c20fe6a8269c51_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Current TV watching and full sink support the negative present progressive.	A natural short cloze.	high	false
candidate_gc_d2c20fe6a8269c51_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Today's bus alternative directly selects “is not walking.”	A clean present-progressive negative cloze.	high	false
unchanged_rescue_gc_db71873bec316091_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Permission context, supplied words, and printed suffix determine the response span.	A plausible question-completion exercise.	high	false
candidate_gc_dfd385cd88abc20f_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The rule context and explicit MUST/NOT/OPEN cues clearly select the passive prohibition.	A deployable modal-passive cloze.	high	false
candidate_gc_dfd385cd88abc20f_02	inline_cloze	pass	fail	fail	concern	concern	pass	fail	fail	fail	answer_space_problem	context_does_not_force_target;weak_context_link	A wet floor does not by itself establish why “the door” must not be opened, and several natural rule phrasings are possible.	The item needs an explicit access-door relation and modal/verb cue before it measures must + passive + negation.	high	false
candidate_gc_e5bdd8211eed997b_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Stopping after five minutes directly supports the negative hour-long duration statement.	A coherent advanced aspect cloze.	high	false
candidate_gc_e730dbce7b036961_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Children outside with a ball plus “play” and the location suffix cue ongoing activity.	A plausible present-progressive item.	high	false
candidate_gc_e730dbce7b036961_03	inline_cloze	concern	pass	pass	pass	pass	concern	pass	concern	pass	minor_ui_or_context_change	deictic_missing_media	“Look at Emma” implies a visual that is not stored, although “right now” and the text still make the answer recoverable.	Either attach an image/stimulus or replace the deictic phrase; the core cloze is sound.	high	true
candidate_gc_e7fef77abc10b5ba_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The factual outcome and without-condition clearly support the negative counterfactual.	A natural modal-perfect completion.	high	false
candidate_gc_e7fef77abc10b5ba_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The only-because premise makes the counterfactual result determinate.	A plausible advanced cloze.	high	false
candidate_gc_edcc8d38860ff41d_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Ability intent and printed object suffix make the can-question span clear.	A deployable question-completion task.	high	false
candidate_gc_edcc8d38860ff41d_02	whole_response	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Ability intent and subject/verb cues determine the question.	A plausible short production item.	high	false
candidate_gc_f6431bc7f8a16c1b_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The not-ready state at arrival and explicit “not finish” cue determine past perfect negative.	A conventional sequence-of-events cloze.	high	false
candidate_gc_f86ecd83135f0b52_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		Offer context, `shall`, and printed suffix clearly determine “Shall I carry.”	A plausible question-completion exercise, particularly in British/formal instruction.	medium	false
