evidence_type,grammar_regime,cell_id,item_id,features,prompt,target_answer,criterion
retained_validation_failure,development,cell_012,candidate_cell_012_03,"{""aspect"": ""perfect"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""negative"", ""tense"": ""present"", ""voice"": ""active""}",The cups are still unwashed. Complete the sentence using the cue (Mia / wash / the cups): ______,Mia has not washed the cups.,"[""determinacy""]"
retained_validation_failure,development,cell_013,candidate_cell_013_03,"{""aspect"": ""perfect"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""present"", ""voice"": ""active""}","Mia started cleaning the kitchen earlier, and now it is spotless. Complete the sentence using the cue “clean”: Mia ____ the kitchen.",Mia has cleaned the kitchen.,"[""determinacy""]"
retained_validation_failure,development,cell_015,candidate_cell_015_01,"{""aspect"": ""perfect"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""past"", ""voice"": ""active""}","When Mia arrived at the kitchen, the floor was already clean. Complete the sentence using the cue (wash): She ____ the floor before Mia arrived.",She had washed the floor before Mia arrived.,"[""determinacy""]"
retained_validation_failure,development,cell_015,candidate_cell_015_02,"{""aspect"": ""perfect"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""past"", ""voice"": ""active""}",The guests arrived at 7:00. Complete the sentence using “wash the dishes”: Maya ____ before the guests arrived.,Maya had washed the dishes before the guests arrived.,"[""determinacy""]"
retained_validation_failure,development,cell_017,candidate_cell_017_01,"{""aspect"": ""perfect_progressive"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""negative"", ""tense"": ""past"", ""voice"": ""active""}","Maya started her job at the shop on Monday. Complete the sentence using “work”: Before Monday, she [____] at the shop.","Before Monday, she had not been working at the shop.","[""determinacy"", ""pedagogical_suitability""]"
retained_validation_failure,development,cell_017,candidate_cell_017_02,"{""aspect"": ""perfect_progressive"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""negative"", ""tense"": ""past"", ""voice"": ""active""}","Maya began piano lessons last month. Before then, she ____ the piano. (practice)","Before then, she had not been practicing the piano.","[""determinacy""]"
retained_validation_failure,development,cell_017,candidate_cell_017_03,"{""aspect"": ""perfect_progressive"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""negative"", ""tense"": ""past"", ""voice"": ""active""}","Maya started cleaning the kitchen before dinner, but she stopped to answer a phone call. Complete the sentence using the cue (clean): Before dinner, Maya ____ the kitchen.","Before dinner, Maya had not been cleaning the kitchen.","[""determinacy"", ""naturalness"", ""pedagogical_suitability""]"
retained_validation_failure,development,cell_017,candidate_cell_017_04,"{""aspect"": ""perfect_progressive"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""negative"", ""tense"": ""past"", ""voice"": ""active""}","Mia arrived at the bus stop at 9:55. Complete the sentence using “wait”: By 10:00, Mia [____] for an hour.","By 10:00, Mia had not been waiting for an hour.","[""determinacy""]"
retained_validation_failure,development,cell_017,candidate_cell_017_05,"{""aspect"": ""perfect_progressive"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""negative"", ""tense"": ""past"", ""voice"": ""active""}",Maya arrived at the bus stop only a minute before the bus came. Complete the sentence using “wait”: Maya ___ for the bus for long.,Maya had not been waiting for the bus for long.,"[""determinacy""]"
retained_validation_failure,development,cell_018,candidate_cell_018_01,"{""aspect"": ""perfect_progressive"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""past"", ""voice"": ""active""}","Maya started at eight. At noon, she was still doing the same job. Use the cue “paint the fence” to complete the sentence: ______.",She had been painting the fence for four hours.,"[""determinacy""]"
retained_validation_failure,development,cell_018,candidate_cell_018_02,"{""aspect"": ""perfect_progressive"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""past"", ""voice"": ""active""}",The bus arrived at 8:20. Maya started waiting at 8:00. Complete the response using the cue (Maya / wait for the bus): ____,Maya had been waiting for the bus for twenty minutes.,"[""determinacy""]"
retained_validation_failure,compositional_holdout,cell_019,candidate_cell_019_01,"{""aspect"": ""none"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""past"", ""voice"": ""passive""}",The workers painted the gate yesterday. Complete the sentence about the gate: _____.,The gate was painted yesterday.,"[""determinacy""]"
retained_validation_failure,development,cell_022,candidate_cell_022_01,"{""aspect"": ""perfect"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""past"", ""voice"": ""passive""}","When Maya arrived, the kitchen was clean. Complete the sentence using the cue “clean / kitchen”: The kitchen ____.",The kitchen had been cleaned.,"[""determinacy""]"
retained_validation_failure,development,cell_022,candidate_cell_022_02,"{""aspect"": ""perfect"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""past"", ""voice"": ""passive""}",The room was ready when the children arrived. Complete the sentence using the cue (clean): The room ____.,The room had been cleaned.,"[""determinacy""]"
retained_validation_failure,development,cell_022,candidate_cell_022_03,"{""aspect"": ""perfect"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""past"", ""voice"": ""passive""}","By the time the guests arrived, the dining room was ready. Complete with the verb “set”: The tables _____.",The tables had been set.,"[""determinacy""]"
retained_validation_failure,development,cell_022,candidate_cell_022_04,"{""aspect"": ""perfect"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""past"", ""voice"": ""passive""}",The baker checked the cake at noon. It was already ready. Complete the sentence using the cue (bake): The cake _____.,The cake had been baked.,"[""determinacy""]"
retained_validation_failure,development,cell_023,candidate_cell_023_01,"{""aspect"": ""none"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""negative"", ""tense"": ""present"", ""voice"": ""passive""}","The café is closed on Sundays. Complete the sentence using the words in brackets: On Sundays, _____. (breakfast / serve)","On Sundays, breakfast is not served.","[""determinacy""]"
retained_validation_failure,novel_feature_holdout,cell_024,candidate_cell_024_01,"{""aspect"": ""none"", ""clause"": ""declarative"", ""modal"": ""would"", ""polarity"": ""positive"", ""tense"": ""NA"", ""voice"": ""active""}",Ben offered to help with the move. Use the cue “carry the boxes” to complete his response: ____.,He would carry the boxes.,"[""determinacy"", ""naturalness"", ""pedagogical_suitability""]"
